country,job_role,ai_specialization,experience_level,experience_years,salary_usd,education_required,industry,company_size,year,work_mode,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
Germany,Computer Vision Engineer,Analytics,Mid,4,99287,Bachelor,Finance,Medium,2020,Onsite,4.35,3,31.9676146,0.263,86,0.64,78.57,7,17,26,19,65,54,72,34,4,2.41,68
USA,Data Analyst,Forecasting,Lead,17,162252,Diploma,Education,Startup,2025,Onsite,3.21,38,53.2709218,0.051,73,7.37,50.67,6,22,64,52,86,62,67,85,32,2.42,83
UK,AI Engineer,NLP,Entry,0,74838,Bootcamp,Telecom,Small,2024,Remote,4.37,21,65.99054342,0.389,53,6.33,55.59,11,17,16,59,66,50,63,12,18,2.09,68
Netherlands,Software Engineer AI,Generative AI,Lead,18,187810,Bootcamp,Education,Enterprise,2020,Remote,4.38,18,46.6790448,0.127,64,1.32,73.61,14,25,58,34,78,50,87,24,97,1.34,77
Germany,Research Scientist,Forecasting,Lead,14,180739,Bachelor,Retail,Medium,2023,Hybrid,4.34,13,80.36825392,0.084,86,6.04,77.4,6,18,43,41,92,79,68,38,70,0.59,79
Canada,Data Scientist,NLP,Mid,4,84240,Master,Retail,Large,2022,Hybrid,4.52,17,67.14675086,0.229,69,1.75,89.04,9,20,70,60,76,48,66,69,54,1.54,68
USA,Data Analyst,LLM,Lead,15,164419,Bootcamp,Telecom,Enterprise,2020,Hybrid,3.27,11,63.48548001,0.151,64,2.29,91.87,3,21,39,97,72,54,65,63,50,2.36,81
Australia,Data Analyst,Generative AI,Lead,14,93009,Diploma,Retail,Medium,2021,Hybrid,4.07,17,87.30204154,0.011,61,2.25,92.55,8,22,93,22,90,43,82,49,60,2.24,80
UK,AI Engineer,LLM,Lead,15,172678,Bachelor,Education,Enterprise,2026,Hybrid,3.51,26,76.04732063,0.121,79,7.2,49.63,5,24,24,7,83,76,70,21,34,0.73,84
Australia,Software Engineer AI,Analytics,Mid,3,89712,Diploma,Consulting,Medium,2020,Hybrid,3.29,19,83.39415904,0.165,75,3.38,49.11,7,12,61,3,80,52,56,36,96,1.85,70
Singapore,AI Engineer,LLM,Senior,9,144496,Bachelor,Retail,Startup,2020,Remote,4.74,13,88.86082725,0.158,71,9.47,46.72,3,29,20,31,59,73,61,42,17,2.21,80
Netherlands,Machine Learning Engineer,Analytics,Mid,5,92263,Master,Consulting,Medium,2026,Onsite,3.93,16,61.33699714,0.178,75,0.49,74.17,14,13,100,21,80,46,73,45,40,1.09,73
Canada,AI Engineer,Generative AI,Senior,9,144848,Master,Education,Large,2023,Onsite,4.45,20,26.56498473,0.162,93,1.7,47.18,14,30,32,14,84,52,72,47,90,0.98,86
France,Machine Learning Engineer,Generative AI,Entry,0,63084,PhD,Gaming,Enterprise,2023,Onsite,3.37,17,76.30145649,0.417,51,0.87,80,13,20,2,54,64,33,55,12,63,2.37,67
Canada,NLP Engineer,Generative AI,Senior,6,114541,Master,Consulting,Small,2026,Onsite,4.24,26,45.36576619,0.125,80,8.52,71.36,13,18,79,69,83,86,93,26,100,1.44,83
Netherlands,Computer Vision Engineer,Analytics,Lead,16,141862,Master,Education,Medium,2024,Hybrid,4.55,31,62.85382605,0.079,100,9.47,79.58,10,17,97,60,86,92,80,28,73,1.51,81
Brazil,NLP Engineer,Analytics,Senior,7,62492,Master,Tech,Large,2026,Remote,4.21,26,54.30684755,0.164,65,4.12,65.51,8,18,44,36,71,60,58,50,77,0.64,62
Japan,Research Scientist,Computer Vision,Entry,0,61616,Master,Energy,Small,2025,Hybrid,3.73,27,23.68515198,0.419,32,3.84,69.68,10,27,98,31,67,27,75,50,89,1.4,68
Netherlands,Computer Vision Engineer,MLOps,Lead,19,187463,Master,Tech,Startup,2024,Onsite,4.22,15,92.3814637,0.063,67,7.69,57.36,6,19,85,75,78,61,55,64,48,0.71,75
Netherlands,Software Engineer AI,Analytics,Lead,14,117325,Diploma,Energy,Medium,2024,Hybrid,4.74,25,2.867403193,0.126,76,6.4,59.04,7,17,16,93,77,68,77,28,25,1.25,74
India,Machine Learning Engineer,Forecasting,Mid,3,34822,PhD,Retail,Small,2024,Onsite,4.42,26,76.3665455,0.19,86,6.33,95.91,11,29,37,13,72,72,90,47,25,2.26,74
France,Data Analyst,LLM,Senior,8,82818,Bootcamp,Healthcare,Medium,2025,Hybrid,4.19,7,74.96668364,0.098,85,5.44,70.49,3,11,71,38,88,54,57,33,90,1.54,64
UK,Computer Vision Engineer,MLOps,Entry,1,83483,Diploma,Tech,Enterprise,2022,Hybrid,3.3,19,11.50386823,0.396,49,7.15,96.39,8,15,7,33,64,61,71,12,62,1.47,71
Canada,Machine Learning Engineer,LLM,Lead,19,194342,Master,Consulting,Startup,2023,Onsite,3.88,24,40.07929454,0.099,72,3.92,49.79,7,12,32,16,68,55,54,68,72,1.55,75
Australia,Data Analyst,MLOps,Lead,18,150191,Bootcamp,Consulting,Large,2023,Hybrid,3.44,18,42.36414962,0.106,72,4.02,68.32,12,29,8,79,77,51,61,33,95,2.24,73
Canada,Data Analyst,NLP,Mid,2,50271,Master,Automotive,Startup,2026,Onsite,4.44,16,72.3498241,0.194,72,3.84,59.57,4,15,1,53,66,70,85,29,58,1.3,74
Japan,Computer Vision Engineer,MLOps,Senior,6,87178,PhD,Tech,Small,2025,Hybrid,4.1,11,59.20814641,0.161,72,6.25,97.67,4,17,34,81,70,64,46,13,76,0.9,67
UAE,Data Analyst,Reinforcement Learning,Lead,19,107973,Master,Finance,Enterprise,2020,Remote,3.34,11,69.20768101,0,65,1.06,96.53,4,11,22,40,85,43,74,57,77,1.29,75
Japan,Research Scientist,MLOps,Lead,18,212050,Diploma,Finance,Large,2025,Onsite,3.33,31,89.07465545,0.102,64,4.86,67.16,11,25,57,11,72,62,79,71,77,1.19,88
USA,NLP Engineer,LLM,Senior,9,156680,Bachelor,Education,Medium,2023,Onsite,4.75,25,26.24118544,0.044,100,8.55,68.79,12,28,3,98,93,80,80,61,87,1.38,84
France,AI Engineer,Forecasting,Mid,5,97722,PhD,Consulting,Enterprise,2023,Onsite,3.69,7,26.87221387,0.182,68,1.98,50.56,9,30,63,12,69,51,73,56,61,1.52,72
India,NLP Engineer,NLP,Senior,6,37185,PhD,Gaming,Startup,2025,Onsite,3.97,21,68.14204042,0.105,57,3.96,46.06,10,19,85,52,80,34,43,83,98,0.77,60
Singapore,AI Engineer,MLOps,Lead,18,200514,PhD,Finance,Medium,2021,Hybrid,4.46,17,47.16718124,0.101,87,6.21,94.06,11,10,85,70,84,68,68,52,60,1.13,90
Australia,AI Engineer,Forecasting,Mid,2,90002,Diploma,Energy,Medium,2020,Remote,4.39,24,42.2118541,0.196,69,4.81,81.25,7,27,17,37,66,58,51,25,57,0.57,67
Japan,Computer Vision Engineer,Reinforcement Learning,Entry,1,74596,Master,Tech,Enterprise,2021,Onsite,4.27,23,75.84066716,0.331,53,1.82,45.57,3,27,53,12,63,32,89,21,29,0.64,70
Canada,Computer Vision Engineer,MLOps,Entry,0,70197,Bootcamp,Healthcare,Large,2025,Hybrid,4.69,23,65.68172512,0.453,97,1.39,82.18,9,25,61,32,56,58,67,12,59,2.48,61
Singapore,Data Scientist,NLP,Lead,13,170240,Bachelor,Retail,Enterprise,2026,Hybrid,3.98,27,52.47922867,0.122,60,7.42,53.29,8,26,35,1,85,60,61,29,37,2.02,76
Japan,Research Scientist,Forecasting,Lead,12,144163,PhD,Healthcare,Large,2022,Onsite,3.7,20,71.20411586,0.171,80,1.69,85.83,11,22,59,42,77,58,58,29,25,1.88,71
Japan,Data Analyst,LLM,Lead,19,131001,PhD,Retail,Large,2024,Hybrid,3.25,14,40.23381116,0.008,56,9.47,54.18,14,22,50,85,80,65,50,70,84,1.3,63
UK,Computer Vision Engineer,Analytics,Entry,0,65532,Bachelor,Healthcare,Enterprise,2025,Remote,3.54,32,88.95906363,0.386,62,6.49,90.38,11,24,2,93,68,56,68,37,19,0.74,66
Australia,Data Scientist,Analytics,Entry,0,63507,Bootcamp,Consulting,Medium,2024,Hybrid,4.77,19,65.38164519,0.404,52,6.12,54.09,13,12,43,87,64,56,70,12,69,1.67,76
Australia,Software Engineer AI,Computer Vision,Lead,17,172920,Master,Energy,Startup,2025,Onsite,3.56,15,62.23188309,0.132,69,4.46,52.22,7,17,96,12,71,56,43,50,56,1.44,71
Canada,Machine Learning Engineer,LLM,Lead,16,144823,Bachelor,Healthcare,Medium,2026,Remote,3.58,20,51.01996428,0.031,59,2.73,85.28,7,21,48,56,96,40,77,76,19,2.26,87
Germany,NLP Engineer,Computer Vision,Mid,2,61359,Bootcamp,Healthcare,Small,2026,Onsite,4.07,9,65.20699931,0.224,59,4.51,98.93,13,17,64,75,77,44,68,30,19,1.59,65
Germany,Computer Vision Engineer,LLM,Senior,11,130301,Diploma,Consulting,Medium,2020,Onsite,3.52,9,51.08084228,0.108,65,2.21,59.22,11,15,10,57,81,51,73,29,45,2.01,78
Brazil,Research Scientist,MLOps,Lead,17,77300,Master,Automotive,Large,2022,Hybrid,4.44,30,61.83762131,0.031,78,5.34,98.05,4,17,49,74,85,58,66,32,46,1.07,61
Brazil,Research Scientist,MLOps,Senior,9,74091,Bachelor,Tech,Large,2024,Onsite,3.9,1,74.14074729,0.132,52,1.74,78.84,14,11,78,96,87,52,58,30,64,2.11,65
France,Data Analyst,MLOps,Senior,11,78397,Master,Retail,Small,2022,Remote,3.5,10,76.12708596,0.027,71,9.31,92.2,13,30,6,40,91,67,46,48,57,1.92,70
USA,Software Engineer AI,Analytics,Mid,5,139589,Diploma,Finance,Medium,2022,Remote,4.24,23,44.79470244,0.114,87,5.09,79.15,5,27,47,68,81,69,52,24,65,1.44,76
France,Data Scientist,Analytics,Senior,8,103262,Bachelor,Consulting,Medium,2022,Remote,4.42,14,58.62087381,0.021,88,8.16,67.46,5,17,87,93,87,82,85,32,87,0.97,80
Australia,Software Engineer AI,MLOps,Entry,0,74189,Bootcamp,Telecom,Startup,2025,Hybrid,4.67,23,89.19787483,0.4,68,4.36,60.4,8,18,75,49,52,41,83,58,82,2.32,66
India,Machine Learning Engineer,Analytics,Mid,3,37506,Bootcamp,Consulting,Startup,2023,Onsite,4.56,34,71.96161978,0.182,74,6.11,81.73,4,30,60,90,67,52,51,49,39,0.87,69
UAE,NLP Engineer,LLM,Entry,0,58980,PhD,Healthcare,Startup,2023,Remote,3.91,24,42.67867218,0.352,48,6.33,78.39,4,17,69,18,53,58,54,54,50,1.91,61
Netherlands,Software Engineer AI,Generative AI,Lead,15,157813,Bachelor,Education,Small,2022,Onsite,3.51,16,23.50039826,0.116,62,2.7,78.59,9,18,5,89,81,50,57,80,48,1.53,69
Germany,Computer Vision Engineer,Computer Vision,Lead,17,185075,PhD,Retail,Medium,2026,Onsite,4.6,15,22.70336985,0.095,76,2.23,72.15,8,11,51,36,83,57,69,38,25,0.76,89
Canada,Computer Vision Engineer,LLM,Entry,1,66134,Bachelor,Retail,Enterprise,2026,Remote,3.87,8,70.038897,0.409,76,2.96,86.31,5,28,27,9,64,52,73,20,98,1.21,74
Singapore,Data Analyst,NLP,Mid,4,67575,Bootcamp,Retail,Medium,2022,Hybrid,3.98,18,100,0.22,76,1.28,76.75,5,14,70,33,72,57,81,37,23,1.62,77
Canada,AI Engineer,Reinforcement Learning,Mid,4,90785,Bootcamp,Tech,Medium,2022,Remote,4.13,15,74.50490944,0.172,62,5.25,65.41,5,18,7,17,84,50,87,12,95,1.88,80
Australia,Machine Learning Engineer,Analytics,Entry,0,71124,Bootcamp,Consulting,Large,2025,Remote,3.93,19,16.91344008,0.36,73,0.26,82.86,10,26,29,79,55,39,82,20,6,0.56,71
Japan,Research Scientist,Forecasting,Lead,14,158193,Diploma,Tech,Startup,2021,Onsite,4.52,16,68.25501046,0.074,69,3.11,99.12,4,25,92,57,69,51,65,64,10,1.28,65
Canada,Software Engineer AI,MLOps,Mid,2,92259,Bootcamp,Finance,Small,2023,Onsite,3.76,7,57.21992334,0.179,77,8,76.93,11,20,49,77,76,65,85,49,68,1.75,80
France,Computer Vision Engineer,Reinforcement Learning,Lead,14,124104,Diploma,Finance,Startup,2026,Remote,4.59,26,43.58182409,0.035,86,7,52.19,9,20,59,52,78,76,63,53,54,2.09,82
Japan,Machine Learning Engineer,MLOps,Senior,9,114116,PhD,Telecom,Medium,2022,Onsite,3.85,17,84.54748508,0.035,72,4.77,90.51,10,12,12,11,93,70,93,17,12,2.41,79
Australia,Machine Learning Engineer,LLM,Senior,6,91562,Bootcamp,Healthcare,Enterprise,2022,Onsite,3.54,11,35.56556735,0.011,85,0.49,97.66,8,13,53,46,89,53,90,29,86,1.85,82
Australia,AI Engineer,Analytics,Senior,6,89120,Bachelor,Education,Medium,2023,Onsite,3.85,13,58.4071821,0.074,67,8.91,48.63,6,14,85,62,88,69,91,30,29,2.12,76
Canada,Software Engineer AI,Reinforcement Learning,Senior,10,136564,Diploma,Finance,Medium,2025,Onsite,3.71,14,66.30952466,0.044,76,1.55,71.2,12,30,72,4,92,53,76,40,78,2.46,79
UAE,Research Scientist,MLOps,Entry,0,57484,PhD,Healthcare,Medium,2023,Remote,3.43,23,62.30953355,0.345,80,7.84,87.64,5,14,73,85,71,56,84,64,52,1.07,67
Canada,Data Scientist,Reinforcement Learning,Entry,1,78971,Diploma,Finance,Enterprise,2023,Hybrid,4.46,23,71.74461081,0.347,50,8.53,94.05,8,15,48,40,79,58,66,13,93,1.25,65
India,Machine Learning Engineer,LLM,Entry,1,31809,Bachelor,Healthcare,Small,2024,Hybrid,3.28,11,62.38856519,0.384,64,8.34,64.8,13,23,63,78,60,65,75,18,57,1.37,57
Australia,Research Scientist,Analytics,Mid,4,89192,Diploma,Energy,Startup,2023,Hybrid,4.38,1,79.09519122,0.166,76,3.65,62.36,13,28,63,68,72,63,55,58,86,1.93,66
France,AI Engineer,LLM,Mid,3,77568,Bachelor,Telecom,Enterprise,2023,Hybrid,3.22,22,65.61499767,0.186,67,1.13,70.53,6,14,98,33,79,45,67,30,38,1.86,77
India,Machine Learning Engineer,NLP,Entry,1,29307,Master,Consulting,Large,2023,Onsite,3.2,19,74.7611625,0.358,67,3.76,61.49,14,17,65,72,63,40,79,24,86,2.19,70
India,Machine Learning Engineer,LLM,Lead,12,58569,Diploma,Tech,Large,2023,Hybrid,4.07,14,47.84446322,0.002,83,6.8,97.95,12,23,74,52,94,65,55,39,91,0.95,68
UAE,NLP Engineer,LLM,Senior,9,111574,PhD,Finance,Large,2020,Onsite,3.92,25,56.09095904,0.057,84,6.18,52.39,10,21,12,56,82,64,90,34,14,0.98,81
Germany,NLP Engineer,Generative AI,Lead,16,181142,PhD,Energy,Startup,2020,Hybrid,3.52,20,83.23010697,0.113,74,4.46,97.33,6,20,100,22,74,63,80,93,10,2.46,87
Singapore,Machine Learning Engineer,NLP,Mid,2,79418,Master,Gaming,Medium,2021,Remote,4.43,11,83.49805953,0.139,90,9.19,72.44,7,16,23,78,80,77,59,30,20,1.21,68
UAE,Machine Learning Engineer,Forecasting,Mid,5,89009,Bootcamp,Consulting,Large,2024,Onsite,3.6,13,68.69385356,0.183,53,3.95,76.02,12,20,81,41,70,57,98,46,20,0.98,76
Netherlands,Machine Learning Engineer,MLOps,Lead,13,165294,Bootcamp,Consulting,Medium,2024,Hybrid,3.87,9,67.75157877,0.04,82,6.89,87.92,11,12,40,60,97,75,60,30,58,0.91,80
USA,AI Engineer,Computer Vision,Senior,10,142818,Bootcamp,Automotive,Startup,2024,Onsite,3.65,6,79.93268065,0.058,73,8.38,68.39,9,24,75,71,76,74,64,66,95,2.03,83
USA,Computer Vision Engineer,Forecasting,Mid,2,103707,Bootcamp,Gaming,Enterprise,2024,Remote,4.34,13,44.41530559,0.248,60,4.27,89.92,10,13,44,92,68,53,91,32,11,2.3,85
Singapore,Data Scientist,Forecasting,Entry,1,72735,Bootcamp,Retail,Large,2024,Onsite,3.36,15,36.31295535,0.393,93,7.21,73.26,5,21,48,37,64,76,62,57,50,2.37,69
Australia,Software Engineer AI,Analytics,Entry,1,63530,Bachelor,Gaming,Startup,2023,Onsite,3.81,15,46.72484684,0.359,85,1.66,46.39,9,19,33,93,52,51,57,74,85,1.91,53
Brazil,Data Scientist,NLP,Senior,11,71547,PhD,Finance,Enterprise,2025,Onsite,4.28,20,88.1646228,0.083,100,4.2,88.82,14,22,17,77,75,75,73,18,91,1.64,79
Canada,Research Scientist,Computer Vision,Lead,19,246257,Diploma,Gaming,Small,2022,Hybrid,3.29,8,47.17638838,0.047,65,8.9,65.57,3,21,40,24,87,57,79,60,28,1.84,86
India,Computer Vision Engineer,NLP,Mid,4,31659,Bachelor,Retail,Small,2022,Remote,3.53,17,50.18938994,0.204,90,1.16,71.57,11,27,95,68,74,49,54,33,5,1.81,55
UAE,Software Engineer AI,NLP,Mid,3,62221,Master,Education,Large,2022,Onsite,4.16,14,88.67194077,0.174,61,5.35,92.64,12,15,93,57,83,59,93,12,6,0.81,85
Australia,Software Engineer AI,MLOps,Mid,4,81521,Diploma,Consulting,Enterprise,2021,Onsite,3.21,19,45.98413406,0.108,92,8.91,68.85,6,19,61,25,84,86,84,15,48,2.33,80
UAE,Computer Vision Engineer,Generative AI,Lead,15,160711,Master,Automotive,Large,2020,Onsite,4.28,33,64.71604466,0,80,2.1,49.46,5,18,7,83,92,53,68,50,62,2.11,72
India,Machine Learning Engineer,NLP,Entry,0,28000,PhD,Automotive,Startup,2022,Onsite,4.33,4,56.66573108,0.356,90,2.91,68.52,5,23,12,29,63,66,41,39,58,2.37,64
India,AI Engineer,Analytics,Lead,15,60576,Master,Tech,Large,2023,Remote,4.26,21,31.35049376,0.103,90,4.57,93.49,8,17,4,41,78,68,79,42,13,0.72,67
Japan,Software Engineer AI,MLOps,Mid,2,57365,Diploma,Healthcare,Startup,2020,Remote,3.36,24,39.40084704,0.273,44,8.32,66.6,14,25,58,79,65,54,75,72,1,0.89,65
Canada,AI Engineer,Generative AI,Senior,11,150533,Bachelor,Retail,Small,2023,Remote,4.02,16,54.32727052,0.055,42,4.47,53.87,7,13,7,31,84,37,87,15,54,0.83,86
UAE,Computer Vision Engineer,LLM,Entry,1,74117,Bootcamp,Finance,Large,2020,Remote,4.07,15,48.92449085,0.436,97,1.75,83.3,14,14,38,55,54,71,72,17,1,1.5,69
Brazil,Software Engineer AI,NLP,Mid,4,44892,Bachelor,Education,Large,2022,Hybrid,3.96,17,68.03938849,0.178,99,4.96,75.84,4,26,70,65,76,80,53,36,65,1.01,70
Singapore,AI Engineer,Generative AI,Lead,12,165291,PhD,Consulting,Startup,2021,Onsite,4.64,15,61.06148288,0.069,94,2.86,56.19,3,21,9,45,91,63,82,76,31,1.28,84
Japan,Machine Learning Engineer,Analytics,Senior,6,107180,Bootcamp,Healthcare,Startup,2026,Onsite,4.33,24,2.553896043,0.098,72,2.35,45.46,5,24,90,62,73,54,38,90,81,1.47,59
UK,Data Scientist,MLOps,Entry,1,70233,Master,Consulting,Startup,2026,Remote,4.16,27,100,0.297,97,6.5,80.98,3,20,40,66,56,87,71,38,51,1.76,66
Singapore,Computer Vision Engineer,MLOps,Senior,7,113578,PhD,Tech,Small,2025,Onsite,4.47,7,61.35629028,0.04,93,8.21,59.96,8,18,16,48,92,82,68,59,56,2.38,71
Australia,Computer Vision Engineer,Forecasting,Lead,17,161566,Diploma,Gaming,Small,2020,Onsite,3.94,25,31.84598536,0.073,90,0.79,59.52,7,12,94,55,85,58,61,41,11,2.15,83
Australia,Data Scientist,Computer Vision,Senior,9,98318,PhD,Gaming,Startup,2021,Hybrid,3.21,15,68.17367268,0.114,67,9.46,70.62,7,24,78,92,75,71,48,34,55,1.14,64
